datetime;A0;A1;A2
2019-05-02 11:00;0.838794461;0.433310488;0.226265526
2019-05-02 12:00;0.278631591;0.941047478;1.471906449
2019-05-02 13:00;-0.963258316;-0.472229474;2.250792121
2019-05-02 14:00;-2.556369472;-0.585760705;1.747562391
2019-05-02 15:00;-1.927467077;0.283477543;1.728776869
2019-05-02 16:00;-2.30699382;0.29096187;2.444028346
2019-05-02 17:00;-1.015103137;0.885126223;1.462868195
2019-05-02 18:00;-1.501027807;2.043604668;2.297758724
2019-05-02 19:00;0.933729573;1.908907772;1.222515511
2019-05-02 20:00;2.323384076;0.69597531;-1.010529671
2019-05-02 21:00;-0.171570236;1.467406229;-1.019511984
2019-05-02 22:00;0.974730155;-0.17180868;-1.717613733
2019-05-02 23:00;0.759967229;0.766604866;-0.252252455
2019-05-03 00:00;0.477517498;0.759005885;-1.869304497
2019-05-03 01:00;-0.400631449;0.494736367;-1.761338053
2019-05-03 02:00;2.369437697;3.307842616;-3.576402514
2019-05-03 03:00;6.208941116;3.030606022;-3.51762778
2019-05-03 04:00;6.468964938;3.783570514;-2.12956104
2019-05-03 05:00;6.147684853;2.141465488;-3.111997697
2019-05-03 06:00;4.429136376;0.370605429;-3.804770961
2019-05-03 07:00;1.392029864;-0.753323805;-0.503009669
2019-05-03 08:00;0.953072874;-0.375613278;-0.745956723
2019-05-03 09:00;0.344477198;2.362583842;-0.482971116
2019-05-03 10:00;2.533721085;0.018287397;-1.152298212
2019-05-03 11:00;0.039163981;0.310077101;-1.113288663
2019-05-03 12:00;1.15937086;-1.303129684;-0.91835828
2019-05-03 13:00;0.273124142;-1.034081682;-1.663003283
2019-05-03 14:00;-0.104077587;-0.887286621;-2.72218028
2019-05-03 15:00;-0.358182483;-1.411055478;-3.493921047
2019-05-03 16:00;-2.088039132;-0.164118966;-3.373893205
2019-05-03 17:00;-1.310471706;-0.24131647;-0.720664582
2019-05-03 18:00;-1.317249239;-0.865184977;-0.096037191
2019-05-03 19:00;0.54227007;-2.230432105;-0.421806038
2019-05-03 20:00;-0.574052263;-2.006078013;1.88071134
2019-05-03 21:00;-3.085104136;-0.746186392;1.195263925
2019-05-03 22:00;-1.504536227;-0.150352672;1.502483732
2019-05-03 23:00;-0.449532706;1.040683623;1.396767764
2019-05-04 00:00;0.663628711;1.873463774;0.18622125
2019-05-04 01:00;1.152884949;0.036652124;-1.07079377
2019-05-04 02:00;-0.500286388;-0.520316273;-0.498365563
2019-05-04 03:00;0.751218243;-0.057407967;0.73835029
2019-05-04 04:00;0.532742118;1.247399615;0.324618984
2019-05-04 05:00;2.390852215;2.633195932;1.445390711
2019-05-04 06:00;3.363477245;1.072969286;0.452958051
2019-05-04 07:00;3.680131384;1.482583298;0.669972573
2019-05-04 08:00;3.121921986;0.560668217;0.525392545
2019-05-04 09:00;1.607602037;0.587911472;0.756293923
2019-05-04 10:00;0.1178235;0.800727514;-1.589413216
2019-05-04 11:00;0.833852524;1.061493942;-1.338736169
2019-05-04 12:00;3.089428041;0.527973488;-0.989003469
2019-05-04 13:00;0.576088991;0.696755881;-1.230916152
2019-05-04 14:00;0.636183492;-0.014102637;-1.906793856
2019-05-04 15:00;0.417901606;-0.305917511;-0.679542025
2019-05-04 16:00;-0.597392471;-0.632261586;-1.662407859
2019-05-04 17:00;1.029549798;-0.294936671;-1.109203711
2019-05-04 18:00;0.029247851;-0.688008046;-2.27292057
